Centre;libelle;zones;CentreOrigine;typeNRA;BlocageR2;InfoR2;Numero;Rue;CodePostal;IlotRepHab;CoordGPS-Lambert2-COX;CoordGPS-Lambert2-COY
FOX;FOS;DDI MEL;;CL;;;;SABIELE;31190;;469266;1764330
EZN;CEZAN;CEZ;REJ;MED;;;;AU VILLAGE;32102;;451777;1869042
SV6;LA SAUVETA;ZDD;;CL;;;;LE VILLAGE;32417;;454607;1874042
8GA;MERCUS GARRABET;MER;TAR;ZO;;;;IMP JARDINS;09188;;542090;1764326
8FK;VILLELONGUE;VIL;PR6;ZO;;;20;RUE DE MARQUE DEBAT;65473;;403947;1775338
LEY;LEYME;DDI AYN;;CL;;;;PRE GRAND;46170;;565165;1976511
DTH;LEDAS ET PANTHIES;LED;TAN;HD;;;;BOURG;81141;;603640;1897646
S2Q;NRA ZO LE SEQUESTRE;SEQ;JOF;ZO;;;;AUZART;81284;;579095;1878777
8FL;MAZERES DE NESTE;MAZ;SLN;ZO;;;3;RUE DU COUDOUGNE;65307;;453562;1787046
LEZ;LEZAT-LEZE;DDI IZA PAS BIA LAC;;CL;;;;AV PYRENEES;09167;;519607;1808417
8GB;SAINT GENIES BELLEVUE;XFZ XFR MAS;;CL;;;;AVE BELLEVUE;31484;;530619;1853077
CLV;CASTELNAVET;ZDD CAV COU LAU PIE;;CL;;;;AU VILLAGE;32081;;423134;1853886
SDE;ST DENIS CATUS;DDI UZE;;CL;;;;LE BOURG;46264;;524895;1951914
SSV;ST-SAUVEUR;XDD XST XCP SZI;;CL;;;;CH LA RIVIERE;31516;;524517;1861472
S2R;SERIGNAC;DDI FLO;;CL;;;;SUR LA FONT ET LES PLANIOLS;46305;;501908;1937749
8FM;MONTEGUT;MON;SLN;ZO;;;;VILLAGE;65319;;450320;1786552
8EW;PUYDARRIEUX;PUY;LUS;ZO;;;1;PL DE LA MAIRIE;65374;;441543;1811273
SV8;SAVIGNAC MONA;ZDD;;CL;;;;AU VILLAGE;32421;;492218;1833043
CNC;CONCORES;DDI;;CL;;;;LE BOURG;46072;;525317;1962447
APP;APPELLE;DDI BER LAC;;CL;;;;EN ARMAND;81015;;568939;1843011
BEZ;BEZ LE;DDI;;CL;;;;GUIOR HAUT;81031;;607359;1848051
STM;ST MATRE;DDI SAU BMO;;CL;;;;LE BOURG;46278;;502592;1934356
PPS;POUPAS;DDI;;CL;;;;MOULIN A VENT;82143;;479863;1886188
8FN;ARTALENS;ART;ARG;ZO;;;;ARTALENS;65036;;405271;1777651
LVY;ST SALVY SARDAGNE;SAL DDI;;CL;;;;SARDAGNE;81269;;602907;1844651
LZ1;MONTLAUZUN;MLA;MCU;HD;;;;LA PLANETE;46206;;508747;1921836
8EX;ARRODETS EZ ANGLES;ARR;LZG;ZO;;;;VILLAGE;65033;;411196;1788679
AS2;ASPRIERES;DDI;;CL;;;;RTE TARTABELLE;12012;;584623;1949334
8EY;CAMPAN GRIPP;GRI;SR8;ZO;;;;QUA GRIPP;65123;;427124;1773839
NTM;LES MONTS D OLMES;MDO FDN SUP;LLN;HD;;;;LES MONTS D OLMES;09206;;551499;1760318
PAC;PACHINS;DDI VAU;;CL;;;;PACHINS;12290;;587207;1939947
MLZ;MONLEZUN;CHR ZDD CHX;;CL;;;;JANET;32273;;428783;1835865
KPS;CAMPSAS;CAM;IDE;HD;;;37;CHE RONDE;82027;;518797;1877791
IDE;LABASTIDE ST PIERRE;DDI LOC CAL LAB ORG REY POS;;CL;;;220;AV JEAN JAURES;82079;;522315;1879878
URA;SAURAT PRAT;PRC;SUT;MED;;;;PRAT COMMUNAL;09280;;;
LFS;LE FOUSSERET;DDI CAS MAR JOS;;CL;;;;RTE MARIGNAC;31193;;496976;1810017
RNG;RANGUEIL;XDD LQF LQN LQA LQB LQC LQH RNI LQM RNB LAU RNA RNR RDU CRS RNZ RNP RND VAL VOI VOU BON BUC;;CL;;;3;CHE MARAICHERS;31555;;529262;1840646
FAB;FABAS;DDI CER TOU;;CL;;;;STE CROIX ROUTE DE;09120;;499923;1790697
CMO;CASTELNAU DE MONTMIRAL;DDI PON BRO BOZ RIE;;CL;;;;RUE BASSE;81064;;558467;1885055
SCR;STE CROIX;DDI VIL CEN;;CL;;;;SEMBEL;12217;;571704;1935471
PRA;PRAYSSAC;DDI BRI POS NIA GAM LMO PES;;CL;;;;AV MAR BESSIERES;46225;;508949;1945266
8EZ;BEAUCENS;BEA;ARG;ZO;;;17;RUE DU CHATEAU;65077;;404160;1777678
NTN;SENTEIN;BON EST LAS DDI;;CL;;;;VILLAGE;09290;;486945;1764454
RNH;LAVERNHE;LAV;REC;MED;;;;LE BOURG;12126;;;
L7C;LAUNAC;XDD;;CL;;;;RTE THIL;31281;;506722;1860769
LFT;LAFITTE VIGORDANE;DDI ELI BEA TRE;;CL;;;;VILLAGE;31261;;504428;1811603
STO;ST ORENS;XDD HOM AUV XJU XRE XTR XAM SOB SMA XHC HCA SOM CIG XMU XJT;;CL;;;7;AV COUSTOU;31506;;534971;1839562
CMP;COMPOLIBAT;DDI LAC PRE;;CL;;;;LE BOURG;12071;;588583;1930815
AQI;BETCAVE AGUIN;BET;SRR;MED;;;;CRABOTS;32048;;466636;1829811
TJP;ST JEAN ET ST PAUL;SPF LAF;SJD;HD;;;;ST PAUL DES FONTS;12232;;658918;1881327
STP;ST PUY;ZDD MAS;;CL;;;;LA VILLE;32404;;449201;1876771
PPV;LUPPE VIOLLES;LUP;HOU;MED;;;;GRABIEOU;32220;;398969;1862370
RMS;ARMOUS ET CAU;MUN;GAZ;MED;;;;MAURAN;32009;;424615;1843908
KAD;CADEILLAN;CAD;ST6;MED;;;;AU SOULAN DU VILLAGE;32069;;479052;1825353
URC;ST URCISSE;DDI MON SAU;;CL;;;;BOURG;81272;;541959;1881970
D2T;DENAT NRA ZO;DEN;LAM;ZO;;;;FALGAYRASSE;81079;;589382;1871711
L7E;LATRAPE;DDI BAX;;CL;;;18;GRAND RUE;31280;;514676;1805240
FRA;LAFRANCAISE;DDI BAR LUN SMA GEN SAB CAL;;CL;;;33;RUE LEON CLADEL;82087;;512148;1903547
CMR;CAMARES;DDI;;CL;;;;PL FOIRAIL DES BOVINS;12044;;643667;1869282
ARA;ARAGNOUET;ZDD EGE;;CL;;;;HAM FABIAN;65017;;426969;1756409
SCU;SALLES CURAN;DDI VER LAC FRA;;CL;;;;LE BOURG;12253;;636232;1909143
PRD;PRADINAS;DDI BOS;;CL;;;;LE BOURG;12189;;594029;1915507
LZ6;LASCAZERES;ZDD SOU RNS;;CL;;;1;PL ST JUSTIN;65264;;408738;1837018
L7F;LAFITTE;DDI LAB COR GAR;;CL;;;;MOURIL;82086;;501933;1886125
MMT;MANENT MONTANE;ZDD CAB;;CL;;;;METAIRIE DU BOIS;32228;;459825;1816843
MNJ;MONTJAUX;DDI MAR;;CL;;;;LE BOURG;12153;;644976;1900078
STS;ST SOZY;DDI MAY MEY PIG CRY;;CL;;;;LE BOURG;46293;;538770;1987095
PRE;PREIGNAN;ZDD CAP MON TES VIL TAL MAT;;CL;;;;LE RAMBERT;32331;;461864;1858872
MMU;MAUMUSSON LAGUIAN;MAN;RIS;MED;;;;A MARIET;32245;;404030;1848809
SEB;SEBAZAC;DDI CAY LIO CCO TAB GLC CLC;;CL;;;;RUE CAUSSES FLEURIS;12264;;621090;1933338
URG;URGOSSE;ZDD MAA SIO LOU SOR BET BOZ;;CL;;;;LE CAOUOT;32458;;410517;1862250
UAJ;AUJOLS;AUJ;LAL;HD;;;;LE BOURG;46010;;537091;1934586
ROC;ROCAMADOUR;FIG COU DDI MFR;;CL;;;;LE GARROUSTIE;46240;;544193;1978343
PAI;PAILHES;DDI LAN ART;;CL;;;;VILLAGE;09224;;527173;1789279
ARC;ARCAMBAL;DDI GAL;;CL;;;;RTE DE CAHORS;46007;;533953;1939908
LHE;LAMOTHE CAPDEVILLE;DDI LOU FUS COS;;CL;;;;PL MAIRIE;82090;;522479;1897574
FRE;FREJEVILLE;DDI;;CL;;;;BOURG;81098;;584675;1845535
VGR;TOURNAN;TOU;SRR;MED;;;;VILLAGE;32451;;474225;1825827
SVA;SANVENSA;DDI LMA LAC;;CL;;;;LE BOURG;12259;;576973;1921185
PAJ;PANJAS;ZDD;;CL;;;;RUE ORMEAU;32305;;404724;1871856
LGP;LAGUEPIE;DDI;;CL;;;;RUE MAYOUNELLE;82088;;570414;1905235
RNN;BARCELONNE;ZDD VER ARB;;CL;;;;RTE TOULOUSE;32027;;392487;1859321
ARE;BARRE;DDI VIL;;CL;;;;BOURG;81023;;638308;1859993
UAL;LABURGADE;LBU;LAL;HD;;;;LE BOURG;46140;;536520;1931988
SDO;STE DODE;ZDD ORT PON;;CL;;;;VILLAGE;32373;;441040;1826225
LHG;FORGUES;YID;RIE;HD;;;;QUA BERGES;31189;;496133;1826408
SCY;ST CYPRIEN SUR DOURDOU;DDI NAU NOA MAI BOU;;CL;;;;RTE CONQUES;12218;;605777;1949799
SUL;ST SULPICE;ENG MEZ POS SEQ ALA TEU DDI VAC MOL PLA;;CL;;;20;FG PLAISANCE;81271;;547891;1863596
IDN;ISLE NOE;ZDD BAR X11;;CL;;;;LE VILLAGE;32159;;444446;1844620
BZ9;BOUZON GELLENAVE;BOZ;URG;MED;;;;BOUZON;32063;;412223;1858884
ARF;ARFONS;DDI;;CL;;;;BOURG;81016;;586263;1825377
RMZ;RAMOUZENS;RAM;LPX;MED;;;;VILLAGE;32338;;426821;1870449
SCZ;ST CEZERT;XDD XBU PTR;;CL;;;;PL DU VILLAGE;31473;;508044;1865112
8YA;CARLA BAYLE;CAR PIG;FOS;HD;;;;VILLAGE;09079;;523020;1794776
PAL;PALLEVILLE;DDI;;CL;;;;HAM PALLEVILLE;81200;;572537;1833733
DEC;DECAZEVILLE;DDI GAM BON HUG PRA NEG FON VIM VIE COM AGN NAN SMI FAR CAN TIN SAI CER MIR CLE;;CL;;;;PL DECAZES;12089;;593668;1950641
PRI;PRIMAUDE LA;DDI CEI STA SJE AUR ZAC BOI MOL;;CL;;;;RTE PLANEZES;12133;;617313;1920947
VIA;VIANE;DDI BRI FRA BEN;;CL;;;;RTE DE LACAUNE;81314;;620073;1859386
SEG;SEGUR 12;DDI BEL ARQ;;CL;;;;LE BOURG;12266;;639835;1921762
OLC;MAULICHERES;MAL;RIS;MED;;;;BRUCH;32244;;404474;1856177
PAM;PAMIERS;DDI CHA CLA FOU GLR HOS MAI MAR MON PON SAJ SAR TOU TUI EGL RIL GAI CAV;;CL;;;25;RUE CARMES;09225;;540706;1790725
ARG;ARGELES GAZOST;ZDD ARR BOO LAB LAU CBE DAU GEZ OUZ OST CAB STS MRE MOU PVR ARC EHP;;CL;;;;RUE CAPIT DIGOY;65025;;400992;1781237
DG1;POUYDRAGUIN;POU;TEA;MED;;;;BOUHEBENT;32325;;413761;1852321
ABA;AUBAREDE;MUN ZDD;;CL;;;4;RUE DE LA BIGORRE;65044;;429230;1810024
B6U;BALADOU;BAL;TEL;HD;;;;LE BOURG;46016;;538389;1991453
SDR;SAUVETERRE DE ROUERGUE;DDI RET;;CL;;;;RTE NAUCELLE;12262;;598443;1912749
8YC;EYCHEIL;EYC;SGR;ZO;;;37;AV RESISTANCE;09261;;503543;1775067
MOG;MONGUILHEM;ZDD CAS;;CL;;;;VILLAGE;32271;;397366;1875933
MNQ;MONTESQUIOU;ZDD VIL;;CL;;;;BOURGUIGNON;32285;;437068;1844240
LJ6;LOUBAJAC;ZDD BAR;;CL;;;4;CHE DE LARRIBERE;65280;;402859;1795486
LGT;LAMAGISTERE;DDI DON;;CL;;;;ALL LOUIS BOURGEAT;82089;;478985;1903725
PAN;PANASSAC;ZDD;;CL;;;;AU VILLAGE;32304;;456223;1821939
NEG;NEGREPELISSE;DDI REY GAD BIO GAR COL RET GIL;;CL;;;;PL HOTEL VILLE;82134;;534693;1897464
JLC;SAINT-JEAN-LE-COMTAL;CHA ZDD;;CL;;;;RTE NATIONALE ANC GARE;32381;;454580;1843062
PSA;PONT DE SALARS;DDI FRA GEN RET;;CL;;;;RUE ECOLES;12185;;631148;1920069
FAL;FALGUIERES;DDI GOL;;CL;;;3300;RTE DE L'AVEYRON;82121;;519737;1896098
UBE;LOUBERS;DDI;;CL;;;;JOUZELLES;81320;;563786;1893816
ARI;ARIFAT;DDI;;CL;;;;LA RIVIERE;81017;;600984;1863084
ABB;ABBAS;DDI LPA;;CL;;;;MURAT;12090;;606308;1929881
VIC;VIC EN BIGORRE;ZDD ACA VER ART DUP GAR BAL JAL CAM NOU CAI SLE MDT LIA;;CL;;;;RUE SIMIN PALAY;65460;;414771;1823212
KSA;CASSAIGNE;CNE;MH6;MED;;;;AU VILLAGE;32075;;438976;1880572
SEI;SEISSAN;ZDD MON ORN;;CL;;;;EN VILLE;32426;;458654;1833574
8HG;ST SYMPHORIEN DE THENIERES ST GERVAIS;STG;STA;HD;;;;ROUQUETARIE;12250;;627016;1970977
SDS;SALIES DU SALAT;DDI GEN HIS MAN MAU MON TOU SAR ARD MAZ CAG DON AGA;;CL;;;;AV SAINT GIRONS;31523;;487600;1789423
STZ;ST GENIEZ D'OLT;DDI CHA TUI CAS PLA CAN;;CL;;;;PL COURS;12224;;650683;1940721
DEG;DEGAGNAC;DDI LAV VER;;CL;;;;BOURG;46087;;518951;1963113
